ID,Box,Position ID,Insert Date,Removed Date
128,C209,"P20,6",2023-11-18 06:33:09,
129,C547,"P20,7",2023-11-18 06:33:23,
130,C954,"P21,1",2023-11-17 08:15:48,
131,C660,"P21,3",2023-11-17 10:38:16,
132,C405,"P21,4",2023-11-17 10:58:03,
133,C525,"P21,5",2023-11-17 10:58:15,
134,C011,"P21,6",2023-11-17 11:12:05,
135,C144,"P23,1",2023-11-17 06:31:40,
136,C553,"P23,2",2023-11-17 06:32:07,
137,C677,"P23,3",2023-11-17 06:32:26,
138,C513,"P23,4",2023-11-17 11:37:40,
139,C670,"P23,5",2023-11-17 11:37:55,
140,C091,"P23,6",2023-11-17 14:28:48,
141,C819,"P23,7",2023-11-17 14:29:00,
142,C241,"P25,1",2023-11-17 14:29:23,
143,C049,"P25,2",2023-11-17 14:56:28,
144,C252,"P25,3",2023-11-17 14:56:39,
145,C112,"P25,6",2023-11-17 09:29:45,
146,C963,"P25,7",2023-11-17 09:49:22,
147,C764,"P27,1",2023-11-17 09:49:48,
148,C541,"P27,2",2023-11-17 21:26:56,
149,C013,"P27,3",2023-11-17 21:27:13,
150,C022,"P27,4",2023-11-17 22:35:48,
151,C625,"P27,5",2023-11-17 22:36:01,
152,C008,"P27,6",2023-11-17 22:36:13,
153,C559,"P27,7",2023-11-17 22:37:49,
154,C999,"P28,2",2023-06-13 14:52:18,
